Mammalia,Panthera leo spelaea,Eurasian cave lion,https://en.wikipedia.org/wiki/Panthera_leo_spelaea,-11000,Canada and Alaska,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Panthera_leo_spelaea_in_Vienna.jpg/100px-Panthera_leo_spelaea_in_Vienna.jpg
Mammalia,Quemisia gravis,Twisted-toothed mouse,https://en.wikipedia.org/wiki/Quemisia_gravis,-11000,Hispaniola,
Mammalia,Stockoceros onusrosagris,Stockoceros,https://en.wikipedia.org/wiki/Stockoceros,-11000,Southwestern North America,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Fossil_ruminant.jpg/100px-Fossil_ruminant.jpg
Mammalia,Tapirus californicus,California tapir,https://en.wikipedia.org/wiki/Tapirus_californicus,-11000,USA,
Mammalia,Tapirus copei,Cope's tapir,https://en.wikipedia.org/wiki/Tapirus_copei,-11000,USA,
Aves,Ciconia maltha,La Brea stork,https://en.wikipedia.org/wiki/Ciconia_maltha,-10000,"Western, Southern USA and Cuba",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Ciconia_maltha.jpg/50px-Ciconia_maltha.jpg
Mammalia,Equus occidentalis,Western horse,https://en.wikipedia.org/wiki/Equus_occidentalis,-10000,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Equus_occidentalis.jpg/100px-Equus_occidentalis.jpg
Mammalia,Homotherium sp.,Scimitar cats,https://en.wikipedia.org/wiki/Homotherium,-10000,"USA, Canada, Mexico",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Homotherium_serum.jpg/100px-Homotherium_serum.jpg
Aves,Meleagris californica,Californian turkey,https://en.wikipedia.org/wiki/Californian_turkey,-10000,USA,
Mammalia,Odocoileus lucasi,American mountain deer,https://en.wikipedia.org/wiki/American_mountain_deer,-10000,USA,
Mammalia,Panthera onca augusta,Pleistocene North American jaguar,https://en.wikipedia.org/wiki/Panthera_onca_augusta,-10000,Panama to USA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Panthera_onca_augusta.JPG/100px-Panthera_onca_augusta.JPG
